nesting_group,aou
Grassland,2881
Grassland,3091
Grassland,3050
Grassland,3080
Grassland,2610
Grassland,2640
Grassland,4740
Grassland,7000
Grassland,6040
Grassland,5760
Grassland,5780
Grassland,5400
Grassland,6050
Grassland,5420
Grassland,5450
Grassland,5460
Grassland,5470
Grassland,5390
Grassland,5380
Grassland,4940
Grassland,5010
Grassland,5011
Woodland,3320
Woodland,3330
Woodland,3340
Woodland,3390
Woodland,3430
Woodland,2890
Woodland,2970
Woodland,3000
Woodland,3100
Woodland,3120
Woodland,3880
Woodland,3870
Woodland,3690
Woodland,3680
Woodland,4160
Woodland,4170
Woodland,4021
Woodland,4100
Woodland,4090
Woodland,4020
Woodland,4030
Woodland,4040
Woodland,3930
Woodland,3950
Woodland,4050
Woodland,4610
Woodland,4650
Woodland,4670
Woodland,4680
Woodland,4640
Woodland,4520
Woodland,4840
Woodland,4780
Woodland,4910
Woodland,7280
Woodland,7270
Woodland,7300
Woodland,7290
Woodland,7260
Woodland,7220
Woodland,7480
Woodland,7540
Woodland,7560
Woodland,7570
Woodland,7580
Woodland,7590
Woodland,7550
Woodland,7630
Woodland,6290
Woodland,6280
Woodland,6260
Woodland,6240
Woodland,6480
Woodland,6570
Woodland,6500
Woodland,6540
Woodland,6550
Woodland,6680
Woodland,6690
Woodland,6670
Woodland,6620
Woodland,6630
Woodland,6640
Woodland,6710
Woodland,6600
Woodland,6610
Woodland,6580
Woodland,6360
Woodland,6870
Woodland,6370
Woodland,6390
Woodland,6380
Woodland,6740
Woodland,6760
Woodland,6770
Woodland,6560
Woodland,6840
Woodland,6900
Woodland,6880
Woodland,6556
Woodland,6100
Woodland,6080
Woodland,6070
Woodland,5150
Woodland,5170
Woodland,5180
Woodland,5210
Woodland,5220
Woodland,5330
Woodland,5140
Deciduous forest,3390
Deciduous forest,3430
Deciduous forest,3000
Deciduous forest,3100
Deciduous forest,3880
Deciduous forest,3870
Deciduous forest,4650
Deciduous forest,4670
Deciduous forest,7270
Deciduous forest,7560
Deciduous forest,6280
Deciduous forest,6260
Deciduous forest,6240
Deciduous forest,6580
Deciduous forest,6360
Deciduous forest,6870
Deciduous forest,6370
Deciduous forest,6380
Deciduous forest,6770
Deciduous forest,6840
Deciduous forest,6080
Coniferous forest,2980
Coniferous forest,2970
Coniferous forest,3690
Coniferous forest,4040
Coniferous forest,3950
Coniferous forest,4680
Coniferous forest,4840
Coniferous forest,4780
Coniferous forest,4910
Coniferous forest,7280
Coniferous forest,7300
Coniferous forest,7290
Coniferous forest,7480
Coniferous forest,7540
Coniferous forest,7570
Coniferous forest,7630
Coniferous forest,6500
Coniferous forest,6550
Coniferous forest,6680
Coniferous forest,6690
Coniferous forest,6620
Coniferous forest,6640
Coniferous forest,6710
Coniferous forest,6600
Coniferous forest,6610
Coniferous forest,6560
Coniferous forest,6556
Coniferous forest,6070
Coniferous forest,5150
Coniferous forest,5170
Coniferous forest,5180
Coniferous forest,5210
Coniferous forest,5220
Coniferous forest,5330
Coniferous forest,5140
Urban,3131
Urban,3153
Urban,3160
Urban,4770
Urban,4880
Urban,4900
Urban,7610
Urban,7030
Urban,4930
Urban,5930
Urban,5810
Urban,5190
Urban,6882
