"Code","Label","common_label"
1,"Open water","Water"
2,"Urban","Urban"
3,"Barren","Barren"
4,"Forest","Forest"
5,"Shrubland","Shrubland"
6,"Agricultural","Agricultural"
7,"Grasslands","Grasslands"
8,"Wetlands","Wetlands"
9,"Perennial ice, snow","Perennial ice, snow"
11,"Unclassified","Unclassified"
21,"Settlement","Urban"
25,"Roads","Urban"
31,"Water","Water"
41,"Forest","Forest"
42,"Forest Wetland","Forest"
45,"Trees","Forest"
46,"Treed Wetland","Forest"
51,"Cropland","Agricultural"
61,"Grassland Managed","Grasslands"
62,"Grassland Unmanaged","Grasslands"
71,"Wetland","Wetlands"
73,"Wetland Shrub","Wetlands"
74,"Wetland Herb","Wetlands"
91,"Other land","Other land"
